1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A90000006D9F9141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Sat Feb 01 04:03:01 PST 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue May 05 01:03:01 PDT 2020
Total Mission Samples:  6348
Total Device Samples:  15178
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/20/20 9:03:01 PM,F,70.779
8/20/20 10:03:01 PM,F,68.978
8/20/20 11:03:01 PM,F,65.375
8/21/20 12:03:01 AM,F,61.772
8/21/20 1:03:01 AM,F,59.97
8/21/20 2:03:01 AM,F,59.068
8/21/20 3:03:01 AM,F,58.167
8/21/20 4:03:01 AM,F,56.365
8/21/20 5:03:01 AM,F,56.365
8/21/20 6:03:01 AM,F,54.562
8/21/20 7:03:01 AM,F,58.167
8/21/20 8:03:01 AM,F,86.978
8/21/20 9:03:01 AM,F,109.448
8/21/20 10:03:01 AM,F,128.295
8/21/20 11:03:01 AM,F,135.469
8/21/20 12:03:01 PM,F,138.158
8/21/20 1:03:01 PM,F,138.158
8/21/20 2:03:01 PM,F,133.676
8/21/20 3:03:01 PM,F,124.707
8/21/20 4:03:01 PM,F,118.426
8/21/20 5:03:01 PM,F,101.363
8/21/20 6:03:01 PM,F,93.273
8/21/20 7:03:01 PM,F,84.28
8/21/20 8:03:01 PM,F,74.38
8/21/20 9:03:01 PM,F,71.679
8/21/20 10:03:01 PM,F,68.077
8/21/20 11:03:01 PM,F,68.077
8/22/20 12:03:01 AM,F,63.574
8/22/20 1:03:01 AM,F,61.772
8/22/20 2:03:01 AM,F,60.871
8/22/20 3:03:01 AM,F,63.574
8/22/20 4:03:01 AM,F,60.871
8/22/20 5:03:01 AM,F,61.772
8/22/20 6:03:01 AM,F,63.574
8/22/20 7:03:01 AM,F,68.978
8/22/20 8:03:01 AM,F,86.978
8/22/20 9:03:01 AM,F,91.475
8/22/20 10:03:01 AM,F,103.16
8/22/20 11:03:01 AM,F,136.365
8/22/20 12:03:01 PM,F,144.431
8/22/20 1:03:01 PM,F,139.055
8/22/20 2:03:01 PM,F,132.779
8/22/20 3:03:01 PM,F,120.221
8/22/20 4:03:01 PM,F,113.937
8/22/20 5:03:01 PM,F,105.855
8/22/20 6:03:01 PM,F,89.676
8/22/20 7:03:01 PM,F,82.48
8/22/20 8:03:01 PM,F,76.181
8/22/20 9:03:01 PM,F,73.48
8/22/20 10:03:01 PM,F,68.978
8/22/20 11:03:01 PM,F,64.475
8/23/20 12:03:01 AM,F,61.772
8/23/20 1:03:01 AM,F,60.871
8/23/20 2:03:01 AM,F,59.97
8/23/20 3:03:01 AM,F,59.068
8/23/20 4:03:01 AM,F,58.167
8/23/20 5:03:01 AM,F,58.167
8/23/20 6:03:01 AM,F,57.266
8/23/20 7:03:01 AM,F,62.673
8/23/20 8:03:01 AM,F,86.978
8/23/20 9:03:01 AM,F,108.549
8/23/20 10:03:01 AM,F,129.192
8/23/20 11:03:01 AM,F,118.426
8/23/20 12:03:01 PM,F,126.501
8/23/20 1:03:01 PM,F,135.469
8/23/20 2:03:01 PM,F,116.631
8/23/20 3:03:01 PM,F,125.604
8/23/20 4:03:01 PM,F,111.244
8/23/20 5:03:01 PM,F,102.261
8/23/20 6:03:01 PM,F,85.179
8/23/20 7:03:01 PM,F,79.781
8/23/20 8:03:01 PM,F,74.38
8/23/20 9:03:01 PM,F,71.679
8/23/20 10:03:01 PM,F,67.177
8/23/20 11:03:01 PM,F,65.375
8/24/20 12:03:01 AM,F,63.574
8/24/20 1:03:01 AM,F,62.673
8/24/20 2:03:01 AM,F,60.871
8/24/20 3:03:01 AM,F,62.673
8/24/20 4:03:01 AM,F,59.068
8/24/20 5:03:01 AM,F,60.871
8/24/20 6:03:01 AM,F,57.266
8/24/20 7:03:01 AM,F,59.97
8/24/20 8:03:01 AM,F,97.768
8/24/20 9:03:01 AM,F,122.015
8/24/20 10:03:01 AM,F,128.295
8/24/20 11:03:01 AM,F,134.572
8/24/20 12:03:01 PM,F,137.262
8/24/20 1:03:01 PM,F,137.262
8/24/20 2:03:01 PM,F,129.192
8/24/20 3:03:01 PM,F,122.015
8/24/20 4:03:01 PM,F,111.244
8/24/20 5:03:01 PM,F,100.464
8/24/20 6:03:01 PM,F,85.179
8/24/20 7:03:01 PM,F,79.781
8/24/20 8:03:01 PM,F,72.58
8/24/20 9:03:01 PM,F,68.077
8/24/20 10:03:01 PM,F,62.673
8/24/20 11:03:01 PM,F,60.871
8/25/20 12:03:01 AM,F,59.068
8/25/20 1:03:01 AM,F,57.266
8/25/20 2:03:01 AM,F,56.365
8/25/20 3:03:01 AM,F,55.463
8/25/20 4:03:01 AM,F,55.463
8/25/20 5:03:01 AM,F,55.463
8/25/20 6:03:01 AM,F,54.562
8/25/20 7:03:01 AM,F,57.266
8/25/20 8:03:01 AM,F,95.97
8/25/20 9:03:01 AM,F,122.015
8/25/20 10:03:01 AM,F,122.913
8/25/20 11:03:01 AM,F,137.262
8/25/20 12:03:01 PM,F,137.262
8/25/20 1:03:01 PM,F,136.365
8/25/20 2:03:01 PM,F,129.192
8/25/20 3:03:01 PM,F,122.913
8/25/20 4:03:01 PM,F,112.142
8/25/20 5:03:01 PM,F,97.768
8/25/20 6:03:01 PM,F,84.28
8/25/20 7:03:01 PM,F,79.781
8/25/20 8:03:01 PM,F,74.38
8/25/20 9:03:01 PM,F,67.177
8/25/20 10:03:01 PM,F,59.97
8/25/20 11:03:01 PM,F,58.167
8/26/20 12:03:01 AM,F,55.463
8/26/20 1:03:01 AM,F,59.068
8/26/20 2:03:01 AM,F,53.66
8/26/20 3:03:01 AM,F,55.463
8/26/20 4:03:01 AM,F,52.759
8/26/20 5:03:01 AM,F,50.956
8/26/20 6:03:01 AM,F,50.956
8/26/20 7:03:01 AM,F,52.759
8/26/20 8:03:01 AM,F,96.869
8/26/20 9:03:01 AM,F,125.604
8/26/20 10:03:01 AM,F,134.572
8/26/20 11:03:01 AM,F,135.469
8/26/20 12:03:01 PM,F,140.847
8/26/20 1:03:01 PM,F,140.847
8/26/20 2:03:01 PM,F,132.779
8/26/20 3:03:01 PM,F,122.913
8/26/20 4:03:01 PM,F,115.733
8/26/20 5:03:01 PM,F,99.565
8/26/20 6:03:01 PM,F,86.079
8/26/20 7:03:01 PM,F,80.681
8/26/20 8:03:01 PM,F,75.281
8/26/20 9:03:01 PM,F,66.276
8/26/20 10:03:01 PM,F,63.574
8/26/20 11:03:01 PM,F,62.673
8/27/20 12:03:01 AM,F,59.97
8/27/20 1:03:01 AM,F,57.266
8/27/20 2:03:01 AM,F,56.365
8/27/20 3:03:01 AM,F,56.365
8/27/20 4:03:01 AM,F,54.562
8/27/20 5:03:01 AM,F,52.759
8/27/20 6:03:01 AM,F,51.857
8/27/20 7:03:01 AM,F,54.562
8/27/20 8:03:01 AM,F,98.667
8/27/20 9:03:01 AM,F,122.913
8/27/20 10:03:01 AM,F,127.398
8/27/20 11:03:01 AM,F,142.639
8/27/20 12:03:01 PM,F,139.951
8/27/20 1:03:01 PM,F,135.469
8/27/20 2:03:01 PM,F,130.089
8/27/20 3:03:01 PM,F,119.323
8/27/20 4:03:01 PM,F,112.142
8/27/20 5:03:01 PM,F,98.667
8/27/20 6:03:01 PM,F,86.978
8/27/20 7:03:01 PM,F,79.781
8/27/20 8:03:01 PM,F,73.48
8/27/20 9:03:01 PM,F,65.375
8/27/20 10:03:01 PM,F,58.167
8/27/20 11:03:01 PM,F,54.562
8/28/20 12:03:01 AM,F,51.857
8/28/20 1:03:01 AM,F,50.054
8/28/20 2:03:01 AM,F,50.956
8/28/20 3:03:01 AM,F,48.251
8/28/20 4:03:01 AM,F,47.349
8/28/20 5:03:01 AM,F,45.545
8/28/20 6:03:01 AM,F,45.545
8/28/20 7:03:01 AM,F,48.251
8/28/20 8:03:01 AM,F,95.071
8/28/20 9:03:01 AM,F,119.323
8/28/20 10:03:01 AM,F,136.365
8/28/20 11:03:01 AM,F,135.469
8/28/20 12:03:01 PM,F,138.158
8/28/20 1:03:01 PM,F,136.365
8/28/20 2:03:01 PM,F,131.883
8/28/20 3:03:01 PM,F,122.015
8/28/20 4:03:01 PM,F,114.835
8/28/20 5:03:01 PM,F,95.97
8/28/20 6:03:01 PM,F,79.781
8/28/20 7:03:01 PM,F,75.281
8/28/20 8:03:01 PM,F,64.475
8/28/20 9:03:01 PM,F,56.365
8/28/20 10:03:01 PM,F,55.463
8/28/20 11:03:01 PM,F,48.251
8/29/20 12:03:01 AM,F,48.251
8/29/20 1:03:01 AM,F,46.447
8/29/20 2:03:01 AM,F,42.839
8/29/20 3:03:01 AM,F,41.936
8/29/20 4:03:01 AM,F,40.132
8/29/20 5:03:01 AM,F,40.132
8/29/20 6:03:01 AM,F,38.327
8/29/20 7:03:01 AM,F,43.741
8/29/20 8:03:01 AM,F,94.172
8/29/20 9:03:01 AM,F,117.528
8/29/20 10:03:01 AM,F,133.676
8/29/20 11:03:01 AM,F,138.158
8/29/20 12:03:01 PM,F,134.572
8/29/20 1:03:01 PM,F,133.676
8/29/20 2:03:01 PM,F,131.883
8/29/20 3:03:01 PM,F,119.323
8/29/20 4:03:01 PM,F,111.244
8/29/20 5:03:01 PM,F,90.576
8/29/20 6:03:01 PM,F,77.981
8/29/20 7:03:01 PM,F,70.779
8/29/20 8:03:01 PM,F,64.475
8/29/20 9:03:01 PM,F,56.365
8/29/20 10:03:01 PM,F,56.365
8/29/20 11:03:01 PM,F,50.956
8/30/20 12:03:01 AM,F,46.447
8/30/20 1:03:01 AM,F,43.741
8/30/20 2:03:01 AM,F,42.839
8/30/20 3:03:01 AM,F,41.936
8/30/20 4:03:01 AM,F,45.545
8/30/20 5:03:01 AM,F,41.034
8/30/20 6:03:01 AM,F,45.545
8/30/20 7:03:01 AM,F,52.759
8/30/20 8:03:01 AM,F,74.38
8/30/20 9:03:01 AM,F,107.651
8/30/20 10:03:01 AM,F,124.707
8/30/20 11:03:01 AM,F,126.501
8/30/20 12:03:01 PM,F,127.398
8/30/20 1:03:01 PM,F,130.089
8/30/20 2:03:01 PM,F,123.81
8/30/20 3:03:01 PM,F,114.835
8/30/20 4:03:01 PM,F,107.651
8/30/20 5:03:01 PM,F,87.878
8/30/20 6:03:01 PM,F,77.981
8/30/20 7:03:01 PM,F,71.679
8/30/20 8:03:01 PM,F,63.574
8/30/20 9:03:01 PM,F,58.167
8/30/20 10:03:01 PM,F,56.365
8/30/20 11:03:01 PM,F,53.66
8/31/20 12:03:01 AM,F,49.152
8/31/20 1:03:01 AM,F,46.447
8/31/20 2:03:01 AM,F,44.643
8/31/20 3:03:01 AM,F,43.741
8/31/20 4:03:01 AM,F,41.936
8/31/20 5:03:01 AM,F,40.132
8/31/20 6:03:01 AM,F,39.229
8/31/20 7:03:01 AM,F,41.034
8/31/20 8:03:01 AM,F,84.28
8/31/20 9:03:01 AM,F,111.244
8/31/20 10:03:01 AM,F,116.631
8/31/20 11:03:01 AM,F,123.81
8/31/20 12:03:01 PM,F,128.295
8/31/20 1:03:01 PM,F,128.295
8/31/20 2:03:01 PM,F,126.501
8/31/20 3:03:01 PM,F,116.631
8/31/20 4:03:01 PM,F,111.244
8/31/20 5:03:01 PM,F,85.179
8/31/20 6:03:01 PM,F,77.981
8/31/20 7:03:01 PM,F,69.879
8/31/20 8:03:01 PM,F,62.673
8/31/20 9:03:01 PM,F,59.068
8/31/20 10:03:01 PM,F,56.365
8/31/20 11:03:01 PM,F,55.463
9/1/20 12:03:01 AM,F,50.054
9/1/20 1:03:01 AM,F,49.152
9/1/20 2:03:01 AM,F,56.365
9/1/20 3:03:01 AM,F,59.068
9/1/20 4:03:01 AM,F,58.167
9/1/20 5:03:01 AM,F,57.266
9/1/20 6:03:01 AM,F,55.463
9/1/20 7:03:01 AM,F,54.562
9/1/20 8:03:01 AM,F,77.981
9/1/20 9:03:01 AM,F,104.058
9/1/20 10:03:01 AM,F,107.651
9/1/20 11:03:01 AM,F,121.118
9/1/20 12:03:01 PM,F,127.398
9/1/20 1:03:01 PM,F,124.707
9/1/20 2:03:01 PM,F,122.015
9/1/20 3:03:01 PM,F,112.142
9/1/20 4:03:01 PM,F,102.261
9/1/20 5:03:01 PM,F,84.28
9/1/20 6:03:01 PM,F,77.981
9/1/20 7:03:01 PM,F,70.779
9/1/20 8:03:01 PM,F,65.375
9/1/20 9:03:01 PM,F,61.772
9/1/20 10:03:01 PM,F,55.463
9/1/20 11:03:01 PM,F,54.562
9/2/20 12:03:01 AM,F,50.956
9/2/20 1:03:01 AM,F,53.66
9/2/20 2:03:01 AM,F,50.956
9/2/20 3:03:01 AM,F,47.349
9/2/20 4:03:01 AM,F,46.447
9/2/20 5:03:01 AM,F,45.545
9/2/20 6:03:01 AM,F,45.545
9/2/20 7:03:01 AM,F,48.251
9/2/20 8:03:01 AM,F,82.48
9/2/20 9:03:01 AM,F,110.346
9/2/20 10:03:01 AM,F,122.015
9/2/20 11:03:01 AM,F,128.295
9/2/20 12:03:01 PM,F,131.883
9/2/20 1:03:01 PM,F,133.676
9/2/20 2:03:01 PM,F,120.221
9/2/20 3:03:01 PM,F,111.244
9/2/20 4:03:01 PM,F,99.565
9/2/20 5:03:01 PM,F,82.48
9/2/20 6:03:01 PM,F,77.981
9/2/20 7:03:01 PM,F,72.58
9/2/20 8:03:01 PM,F,67.177
9/2/20 9:03:01 PM,F,62.673
9/2/20 10:03:01 PM,F,56.365
9/2/20 11:03:01 PM,F,54.562
9/3/20 12:03:01 AM,F,52.759
9/3/20 1:03:01 AM,F,51.857
9/3/20 2:03:01 AM,F,50.054
9/3/20 3:03:01 AM,F,49.152
9/3/20 4:03:01 AM,F,49.152
9/3/20 5:03:01 AM,F,47.349
9/3/20 6:03:01 AM,F,46.447
9/3/20 7:03:01 AM,F,49.152
9/3/20 8:03:01 AM,F,84.28
9/3/20 9:03:01 AM,F,109.448
9/3/20 10:03:01 AM,F,119.323
9/3/20 11:03:01 AM,F,130.089
9/3/20 12:03:01 PM,F,132.779
9/3/20 1:03:01 PM,F,134.572
9/3/20 2:03:01 PM,F,123.81
9/3/20 3:03:01 PM,F,112.142
9/3/20 4:03:01 PM,F,102.261
9/3/20 5:03:01 PM,F,86.978
9/3/20 6:03:01 PM,F,82.48
9/3/20 7:03:01 PM,F,76.181
9/3/20 8:03:01 PM,F,68.978
9/3/20 9:03:01 PM,F,62.673
9/3/20 10:03:01 PM,F,59.97
9/3/20 11:03:01 PM,F,57.266
9/4/20 12:03:01 AM,F,55.463
9/4/20 1:03:01 AM,F,55.463
9/4/20 2:03:01 AM,F,53.66
9/4/20 3:03:01 AM,F,52.759
9/4/20 4:03:01 AM,F,50.956
9/4/20 5:03:01 AM,F,50.054
9/4/20 6:03:01 AM,F,50.054
9/4/20 7:03:01 AM,F,51.857
9/4/20 8:03:01 AM,F,88.777
9/4/20 9:03:01 AM,F,117.528
9/4/20 10:03:01 AM,F,135.469
9/4/20 11:03:01 AM,F,138.158
9/4/20 12:03:01 PM,F,139.055
9/4/20 1:03:01 PM,F,139.055
9/4/20 2:03:01 PM,F,130.986
9/4/20 3:03:01 PM,F,122.913
9/4/20 4:03:01 PM,F,112.142
9/4/20 5:03:01 PM,F,95.97
9/4/20 6:03:01 PM,F,89.676
9/4/20 7:03:01 PM,F,82.48
9/4/20 8:03:01 PM,F,68.978
9/4/20 9:03:01 PM,F,65.375
9/4/20 10:03:01 PM,F,62.673
9/4/20 11:03:01 PM,F,61.772
9/5/20 12:03:01 AM,F,65.375
9/5/20 1:03:01 AM,F,64.475
9/5/20 2:03:01 AM,F,60.871
9/5/20 3:03:01 AM,F,60.871
9/5/20 4:03:01 AM,F,58.167
9/5/20 5:03:01 AM,F,59.068
9/5/20 6:03:01 AM,F,59.97
9/5/20 7:03:01 AM,F,65.375
9/5/20 8:03:01 AM,F,95.071
9/5/20 9:03:01 AM,F,127.398
9/5/20 10:03:01 AM,F,144.431
9/5/20 11:03:01 AM,F,159.654
9/5/20 12:03:01 PM,F,159.654
9/5/20 1:03:01 PM,F,160.549
9/5/20 2:03:01 PM,F,147.119
9/5/20 3:03:01 PM,F,137.262
9/5/20 4:03:01 PM,F,130.089
9/5/20 5:03:01 PM,F,107.651
9/5/20 6:03:01 PM,F,98.667
9/5/20 7:03:01 PM,F,86.978
9/5/20 8:03:01 PM,F,77.081
9/5/20 9:03:01 PM,F,77.981
9/5/20 10:03:01 PM,F,72.58
9/5/20 11:03:01 PM,F,72.58
9/6/20 12:03:01 AM,F,68.077
9/6/20 1:03:01 AM,F,67.177
9/6/20 2:03:01 AM,F,65.375
9/6/20 3:03:01 AM,F,65.375
9/6/20 4:03:01 AM,F,66.276
9/6/20 5:03:01 AM,F,70.779
9/6/20 6:03:01 AM,F,66.276
9/6/20 7:03:01 AM,F,70.779
9/6/20 8:03:01 AM,F,103.16
9/6/20 9:03:01 AM,F,126.501
9/6/20 10:03:01 AM,F,141.743
9/6/20 11:03:01 AM,F,160.549
9/6/20 12:03:01 PM,F,156.969
9/6/20 1:03:01 PM,F,164.129
9/6/20 2:03:01 PM,F,156.074
9/6/20 3:03:01 PM,F,145.327
9/6/20 4:03:01 PM,F,132.779
9/6/20 5:03:01 PM,F,113.937
9/6/20 6:03:01 PM,F,101.363
9/6/20 7:03:01 PM,F,95.97
9/6/20 8:03:01 PM,F,77.081
9/6/20 9:03:01 PM,F,74.38
9/6/20 10:03:01 PM,F,80.681
9/6/20 11:03:01 PM,F,74.38
9/7/20 12:03:01 AM,F,77.081
9/7/20 1:03:01 AM,F,75.281
9/7/20 2:03:01 AM,F,77.981
9/7/20 3:03:01 AM,F,68.077
9/7/20 4:03:01 AM,F,67.177
9/7/20 5:03:01 AM,F,62.673
9/7/20 6:03:01 AM,F,63.574
9/7/20 7:03:01 AM,F,64.475
9/7/20 8:03:01 AM,F,84.28
9/7/20 9:03:01 AM,F,107.651
9/7/20 10:03:01 AM,F,130.089
9/7/20 11:03:01 AM,F,143.535
9/7/20 12:03:01 PM,F,143.535
9/7/20 1:03:01 PM,F,133.676
9/7/20 2:03:01 PM,F,130.986
9/7/20 3:03:01 PM,F,115.733
9/7/20 4:03:01 PM,F,107.651
9/7/20 5:03:01 PM,F,96.869
9/7/20 6:03:01 PM,F,88.777
9/7/20 7:03:01 PM,F,79.781
9/7/20 8:03:01 PM,F,72.58
9/7/20 9:03:01 PM,F,68.077
9/7/20 10:03:01 PM,F,66.276
9/7/20 11:03:01 PM,F,64.475
9/8/20 12:03:01 AM,F,62.673
9/8/20 1:03:01 AM,F,59.97
9/8/20 2:03:01 AM,F,61.772
9/8/20 3:03:01 AM,F,62.673
9/8/20 4:03:01 AM,F,65.375
9/8/20 5:03:01 AM,F,65.375
9/8/20 6:03:01 AM,F,65.375
9/8/20 7:03:01 AM,F,66.276
9/8/20 8:03:01 AM,F,68.077
9/8/20 9:03:01 AM,F,70.779
9/8/20 10:03:01 AM,F,81.58
9/8/20 11:03:01 AM,F,104.058
9/8/20 12:03:01 PM,F,111.244
9/8/20 1:03:01 PM,F,113.937
9/8/20 2:03:01 PM,F,110.346
9/8/20 3:03:01 PM,F,104.058
9/8/20 4:03:01 PM,F,99.565
9/8/20 5:03:01 PM,F,88.777
9/8/20 6:03:01 PM,F,80.681
9/8/20 7:03:01 PM,F,72.58
9/8/20 8:03:01 PM,F,63.574
9/8/20 9:03:01 PM,F,56.365
9/8/20 10:03:01 PM,F,54.562
9/8/20 11:03:01 PM,F,52.759
9/9/20 12:03:01 AM,F,52.759
9/9/20 1:03:01 AM,F,55.463
9/9/20 2:03:01 AM,F,63.574
9/9/20 3:03:01 AM,F,60.871
9/9/20 4:03:01 AM,F,66.276
9/9/20 5:03:01 AM,F,67.177
9/9/20 6:03:01 AM,F,57.266
9/9/20 7:03:01 AM,F,59.068
9/9/20 8:03:01 AM,F,75.281
9/9/20 9:03:01 AM,F,93.273
9/9/20 10:03:01 AM,F,103.16
9/9/20 11:03:01 AM,F,106.753
9/9/20 12:03:01 PM,F,126.501
9/9/20 1:03:01 PM,F,133.676
9/9/20 2:03:01 PM,F,124.707
9/9/20 3:03:01 PM,F,121.118
9/9/20 4:03:01 PM,F,112.142
9/9/20 5:03:01 PM,F,88.777
9/9/20 6:03:01 PM,F,79.781
9/9/20 7:03:01 PM,F,71.679
9/9/20 8:03:01 PM,F,55.463
9/9/20 9:03:01 PM,F,50.956
9/9/20 10:03:01 PM,F,48.251
9/9/20 11:03:01 PM,F,45.545
9/10/20 12:03:01 AM,F,48.251
9/10/20 1:03:01 AM,F,46.447
9/10/20 2:03:01 AM,F,53.66
9/10/20 3:03:01 AM,F,45.545
9/10/20 4:03:01 AM,F,42.839
9/10/20 5:03:01 AM,F,47.349
9/10/20 6:03:01 AM,F,49.152
9/10/20 7:03:01 AM,F,50.054
9/10/20 8:03:01 AM,F,58.167
9/10/20 9:03:01 AM,F,72.58
9/10/20 10:03:01 AM,F,86.978
9/10/20 11:03:01 AM,F,96.869
9/10/20 12:03:01 PM,F,101.363
9/10/20 1:03:01 PM,F,100.464
9/10/20 2:03:01 PM,F,98.667
9/10/20 3:03:01 PM,F,96.869
9/10/20 4:03:01 PM,F,85.179
9/10/20 5:03:01 PM,F,78.881
9/10/20 6:03:01 PM,F,66.276
9/10/20 7:03:01 PM,F,56.365
9/10/20 8:03:01 PM,F,50.054
9/10/20 9:03:01 PM,F,48.251
9/10/20 10:03:01 PM,F,46.447
9/10/20 11:03:01 PM,F,46.447
9/11/20 12:03:01 AM,F,45.545
9/11/20 1:03:01 AM,F,44.643
9/11/20 2:03:01 AM,F,45.545
9/11/20 3:03:01 AM,F,44.643
9/11/20 4:03:01 AM,F,45.545
9/11/20 5:03:01 AM,F,44.643
9/11/20 6:03:01 AM,F,42.839
9/11/20 7:03:01 AM,F,45.545
9/11/20 8:03:01 AM,F,63.574
9/11/20 9:03:01 AM,F,86.079
9/11/20 10:03:01 AM,F,104.058
9/11/20 11:03:01 AM,F,122.913
9/11/20 12:03:01 PM,F,129.192
9/11/20 1:03:01 PM,F,123.81
9/11/20 2:03:01 PM,F,119.323
9/11/20 3:03:01 PM,F,106.753
9/11/20 4:03:01 PM,F,98.667
9/11/20 5:03:01 PM,F,86.978
9/11/20 6:03:01 PM,F,77.981
9/11/20 7:03:01 PM,F,68.978
9/11/20 8:03:01 PM,F,54.562
9/11/20 9:03:01 PM,F,50.956
9/11/20 10:03:01 PM,F,48.251
9/11/20 11:03:01 PM,F,46.447
9/12/20 12:03:01 AM,F,45.545
9/12/20 1:03:01 AM,F,44.643
9/12/20 2:03:01 AM,F,43.741
9/12/20 3:03:01 AM,F,43.741
9/12/20 4:03:01 AM,F,42.839
9/12/20 5:03:01 AM,F,42.839
9/12/20 6:03:01 AM,F,45.545
9/12/20 7:03:01 AM,F,45.545
9/12/20 8:03:01 AM,F,60.871
9/12/20 9:03:01 AM,F,79.781
9/12/20 10:03:01 AM,F,95.97
9/12/20 11:03:01 AM,F,109.448
9/12/20 12:03:01 PM,F,122.913
9/12/20 1:03:01 PM,F,120.221
9/12/20 2:03:01 PM,F,118.426
9/12/20 3:03:01 PM,F,108.549
9/12/20 4:03:01 PM,F,101.363
9/12/20 5:03:01 PM,F,85.179
9/12/20 6:03:01 PM,F,78.881
9/12/20 7:03:01 PM,F,63.574
9/12/20 8:03:01 PM,F,56.365
9/12/20 9:03:01 PM,F,50.054
9/12/20 10:03:01 PM,F,49.152
9/12/20 11:03:01 PM,F,46.447
9/13/20 12:03:01 AM,F,45.545
9/13/20 1:03:01 AM,F,45.545
9/13/20 2:03:01 AM,F,44.643
9/13/20 3:03:01 AM,F,44.643
9/13/20 4:03:01 AM,F,48.251
9/13/20 5:03:01 AM,F,49.152
9/13/20 6:03:01 AM,F,47.349
9/13/20 7:03:01 AM,F,48.251
9/13/20 8:03:01 AM,F,74.38
9/13/20 9:03:01 AM,F,98.667
9/13/20 10:03:01 AM,F,115.733
9/13/20 11:03:01 AM,F,118.426
9/13/20 12:03:01 PM,F,124.707
9/13/20 1:03:01 PM,F,120.221
9/13/20 2:03:01 PM,F,118.426
9/13/20 3:03:01 PM,F,111.244
9/13/20 4:03:01 PM,F,102.261
9/13/20 5:03:01 PM,F,86.978
9/13/20 6:03:01 PM,F,78.881
9/13/20 7:03:01 PM,F,71.679
9/13/20 8:03:01 PM,F,59.068
9/13/20 9:03:01 PM,F,53.66
9/13/20 10:03:01 PM,F,51.857
9/13/20 11:03:01 PM,F,50.054
9/14/20 12:03:01 AM,F,48.251
9/14/20 1:03:01 AM,F,47.349
9/14/20 2:03:01 AM,F,45.545
9/14/20 3:03:01 AM,F,48.251
9/14/20 4:03:01 AM,F,50.054
9/14/20 5:03:01 AM,F,49.152
9/14/20 6:03:01 AM,F,47.349
9/14/20 7:03:01 AM,F,50.054
9/14/20 8:03:01 AM,F,75.281
9/14/20 9:03:01 AM,F,100.464
9/14/20 10:03:01 AM,F,120.221
9/14/20 11:03:01 AM,F,122.913
9/14/20 12:03:01 PM,F,124.707
9/14/20 1:03:01 PM,F,127.398
9/14/20 2:03:01 PM,F,124.707
9/14/20 3:03:01 PM,F,115.733
9/14/20 4:03:01 PM,F,107.651
9/14/20 5:03:01 PM,F,93.273
9/14/20 6:03:01 PM,F,84.28
9/14/20 7:03:01 PM,F,66.276
9/14/20 8:03:01 PM,F,58.167
9/14/20 9:03:01 PM,F,54.562
9/14/20 10:03:01 PM,F,53.66
9/14/20 11:03:01 PM,F,51.857
9/15/20 12:03:01 AM,F,53.66
9/15/20 1:03:01 AM,F,56.365
9/15/20 2:03:01 AM,F,52.759
9/15/20 3:03:01 AM,F,48.251
9/15/20 4:03:01 AM,F,51.857
9/15/20 5:03:01 AM,F,54.562
9/15/20 6:03:01 AM,F,50.956
9/15/20 7:03:01 AM,F,50.956
9/15/20 8:03:01 AM,F,70.779
9/15/20 9:03:01 AM,F,95.071
9/15/20 10:03:01 AM,F,112.142
9/15/20 11:03:01 AM,F,128.295
9/15/20 12:03:01 PM,F,134.572
9/15/20 1:03:01 PM,F,129.192
9/15/20 2:03:01 PM,F,120.221
9/15/20 3:03:01 PM,F,113.937
9/15/20 4:03:01 PM,F,106.753
9/15/20 5:03:01 PM,F,91.475
9/15/20 6:03:01 PM,F,83.38
9/15/20 7:03:01 PM,F,73.48
9/15/20 8:03:01 PM,F,59.068
9/15/20 9:03:01 PM,F,52.759
9/15/20 10:03:01 PM,F,50.054
9/15/20 11:03:01 PM,F,50.054
9/16/20 12:03:01 AM,F,47.349
9/16/20 1:03:01 AM,F,46.447
9/16/20 2:03:01 AM,F,49.152
9/16/20 3:03:01 AM,F,46.447
9/16/20 4:03:01 AM,F,46.447
9/16/20 5:03:01 AM,F,43.741
9/16/20 6:03:01 AM,F,42.839
9/16/20 7:03:01 AM,F,47.349
9/16/20 8:03:01 AM,F,71.679
9/16/20 9:03:01 AM,F,101.363
9/16/20 10:03:01 AM,F,122.913
9/16/20 11:03:01 AM,F,136.365
9/16/20 12:03:01 PM,F,139.055
9/16/20 1:03:01 PM,F,134.572
9/16/20 2:03:01 PM,F,128.295
9/16/20 3:03:01 PM,F,121.118
9/16/20 4:03:01 PM,F,110.346
9/16/20 5:03:01 PM,F,90.576
9/16/20 6:03:01 PM,F,82.48
9/16/20 7:03:01 PM,F,70.779
9/16/20 8:03:01 PM,F,58.167
9/16/20 9:03:01 PM,F,50.956
9/16/20 10:03:01 PM,F,50.054
9/16/20 11:03:01 PM,F,46.447
